Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,71.050003,71.580002,69.849998,69.949997,69.949997,1027700
2021-10-12,70.220001,70.589996,69.739998,69.830002,69.830002,1148600
2021-10-13,69.889999,70.400002,69.839996,70.160004,70.160004,929400
2021-10-14,70.500000,70.949997,70.019997,70.260002,70.260002,1464300
2021-10-15,70.790001,70.800003,69.620003,69.669998,69.669998,1950800
2021-10-18,69.559998,70.070000,69.099998,70.019997,70.019997,1568200
2021-10-19,70.550003,71.510002,70.519997,70.930000,70.930000,1565700
2021-10-20,71.410004,73.029999,71.260002,72.930000,72.930000,1685500
2021-10-21,73.160004,73.720001,72.529999,73.639999,73.639999,1030400
2021-10-22,73.750000,74.110001,73.190002,73.610001,73.610001,580500
2021-10-25,73.699997,73.699997,72.809998,73.029999,73.029999,761700
2021-10-26,73.199997,73.199997,72.279999,72.430000,72.430000,866200
2021-10-27,72.559998,72.650002,71.309998,71.660004,71.660004,924800
2021-10-28,71.849998,72.830002,71.849998,72.660004,72.660004,925700
2021-10-29,72.580002,73.440002,71.919998,73.309998,73.309998,1285600
2021-11-01,72.839996,72.949997,71.580002,72.680000,72.680000,1720500
2021-11-02,73.599998,73.860001,70.110001,70.910004,70.910004,2675900
2021-11-03,70.519997,72.400002,69.160004,72.309998,72.309998,2183900
2021-11-04,72.029999,72.879997,71.400002,71.830002,71.830002,1030900
2021-11-05,70.860001,71.440002,68.029999,68.970001,68.970001,2335800
2021-11-08,69.330002,71.199997,69.220001,71.129997,71.129997,1695900
2021-11-09,70.919998,71.800003,70.660004,71.260002,71.260002,1622200
2021-11-10,71.230003,72.910004,71.010002,71.440002,71.440002,1911700
2021-11-11,71.459999,73.010002,71.220001,72.610001,72.610001,1391300
2021-11-12,72.580002,73.709999,71.980003,73.540001,73.540001,1741700
2021-11-15,73.680000,74.150002,72.900002,73.250000,73.250000,1133900
2021-11-16,73.379997,74.669998,73.139999,73.180000,73.180000,1575300
2021-11-17,73.650002,73.989998,72.839996,73.250000,73.250000,1186700
2021-11-18,73.519997,73.620003,72.559998,73.260002,73.260002,1478900
2021-11-19,73.830002,76.260002,73.370003,75.330002,75.330002,1888600
2021-11-22,75.080002,75.410004,73.510002,73.589996,73.589996,1523800
2021-11-23,73.750000,74.720001,72.309998,74.349998,74.349998,2621400
2021-11-24,74.169998,74.949997,73.730003,74.910004,74.910004,1202000
2021-11-26,75.900002,77.889999,75.750000,76.830002,76.830002,1483300
2021-11-29,76.250000,77.279999,75.500000,75.970001,75.970001,1424500
2021-11-30,76.519997,77.250000,74.239998,74.730003,74.730003,2832800
2021-12-01,74.629997,74.980003,72.230003,73.059998,73.059998,1674100
2021-12-02,72.860001,74.180000,72.309998,73.769997,73.769997,1260400
2021-12-03,74.379997,74.699997,73.019997,73.940002,73.940002,1164900
2021-12-06,73.970001,74.639999,73.290001,74.419998,74.419998,1176500
2021-12-07,75.070000,76.250000,74.099998,76.150002,76.150002,1282300
2021-12-08,76.099998,76.360001,75.029999,76.050003,76.050003,1158800
2021-12-09,76.199997,76.800003,75.129997,75.190002,75.190002,928800
2021-12-10,75.160004,76.089996,74.570000,74.750000,74.750000,1651900
2021-12-13,74.750000,75.849998,74.629997,75.389999,75.389999,1346300
2021-12-14,75.730003,76.129997,74.559998,74.830002,74.830002,1056700
2021-12-15,74.419998,77.279999,73.610001,77.230003,77.230003,1978600
2021-12-16,77.470001,78.459999,77.129997,77.919998,77.919998,1680900
2021-12-17,77.910004,78.959999,77.169998,77.709999,77.709999,2666000
2021-12-20,77.620003,78.040001,75.739998,77.180000,77.180000,1788000
2021-12-21,77.459999,77.860001,75.760002,76.139999,76.139999,1741100
2021-12-22,76.440002,77.379997,76.110001,77.220001,77.220001,1196400
2021-12-23,77.209999,77.349998,75.669998,76.120003,76.120003,1883300
2021-12-27,76.419998,77.070000,76.000000,76.849998,76.849998,875800
2021-12-28,76.900002,76.900002,75.080002,75.209999,75.209999,1082400
2021-12-29,75.099998,75.349998,74.320000,75.089996,75.089996,1887700
2021-12-30,75.309998,76.919998,75.150002,76.620003,76.620003,1020800
2021-12-31,76.480003,77.120003,76.400002,76.559998,76.559998,686000
2022-01-03,76.510002,76.510002,73.070000,73.099998,73.099998,1682100
2022-01-04,72.879997,72.989998,69.550003,70.430000,70.430000,2621200
2022-01-05,70.180000,71.589996,70.050003,70.760002,70.760002,1960400
2022-01-06,70.300003,71.809998,69.800003,70.699997,70.699997,2046300
2022-01-07,70.629997,71.459999,69.959999,70.309998,70.309998,1281000
2022-01-10,70.150002,73.500000,69.830002,73.449997,73.449997,1960300
2022-01-11,73.449997,74.360001,71.410004,72.330002,72.330002,1640200
2022-01-12,71.720001,72.489998,71.540001,72.139999,72.139999,1003800
2022-01-13,72.000000,72.000000,69.870003,69.959999,69.959999,1369700
2022-01-14,69.730003,70.260002,68.959999,69.589996,69.589996,1694400
2022-01-18,68.940002,69.959999,68.290001,69.410004,69.410004,1540700
2022-01-19,69.169998,70.769997,69.010002,70.419998,70.419998,1319000
2022-01-20,70.870003,71.699997,69.760002,69.849998,69.849998,1315000
2022-01-21,70.269997,71.190002,70.139999,70.629997,70.629997,2331400
2022-01-24,70.629997,71.019997,68.559998,70.889999,70.889999,2791900
2022-01-25,70.519997,70.989998,69.769997,70.029999,70.029999,2576600
2022-01-26,69.459999,70.510002,67.879997,68.220001,68.220001,2405700
2022-01-27,68.769997,69.440002,67.779999,68.080002,68.080002,2342700
2022-01-28,68.459999,70.070000,67.489998,70.019997,70.019997,1351600
2022-01-31,70.099998,71.330002,69.580002,70.239998,70.239998,1677900
2022-02-01,70.470001,70.660004,69.470001,70.529999,70.529999,1526100
2022-02-02,70.489998,72.480003,70.489998,72.160004,72.160004,2290500
2022-02-03,70.500000,74.470001,69.839996,73.360001,73.360001,3945200
2022-02-04,73.500000,74.970001,72.860001,74.739998,74.739998,1950600
2022-02-07,74.760002,74.760002,73.029999,73.180000,73.180000,1332800
2022-02-08,73.180000,74.250000,72.769997,74.040001,74.040001,1562000
2022-02-09,74.589996,75.589996,73.629997,74.260002,74.260002,1433400
2022-02-10,73.480003,74.400002,72.930000,73.169998,73.169998,1459400
2022-02-11,73.059998,73.709999,71.720001,71.989998,71.989998,1379800
2022-02-14,71.709999,71.919998,69.889999,70.309998,70.309998,1690600
2022-02-15,70.820000,71.669998,70.010002,70.620003,70.620003,1679200
2022-02-16,70.570000,71.360001,70.050003,71.040001,71.040001,1260500
2022-02-17,70.839996,71.349998,69.769997,69.879997,69.879997,873400
2022-02-18,70.160004,70.750000,69.660004,70.050003,70.050003,1448800
2022-02-22,70.250000,70.800003,69.900002,70.529999,70.529999,1136400
2022-02-23,70.629997,71.790001,70.550003,70.870003,70.870003,1142300
2022-02-24,68.709999,71.239998,68.709999,71.110001,71.110001,1301800
2022-02-25,71.529999,72.690002,70.449997,72.389999,72.389999,2182500
2022-02-28,72.239998,72.349998,69.930000,71.169998,71.169998,3155900
2022-03-01,71.120003,72.059998,70.269997,70.879997,70.879997,1312500
2022-03-02,70.720001,71.750000,70.449997,71.000000,71.000000,1431300
2022-03-03,71.489998,71.940002,70.660004,70.900002,70.900002,1788300
2022-03-04,70.690002,72.519997,70.260002,72.220001,72.220001,1378200
2022-03-07,72.410004,72.720001,70.889999,71.650002,71.650002,1623900
2022-03-08,71.320000,71.760002,69.500000,69.699997,69.699997,1825800
2022-03-09,70.430000,71.459999,69.860001,71.160004,71.160004,1233200
